id_usuario;nombre;apellido;edad;sexo;tipo_documento;numero_documento;tipo_suscripcion;horas_ejercicio_semanal;nivel_actividad;mail;telefono;altura_metros;peso_kilos;fecha_registro;
1;Frederico;Ivashechkin;36;Male;nacional;76-773-6212;premium;27;medio;fivashechkin0@pbs.org;919-321-0373;2.0;67.2;23/11/2023;
2;Jarvis;Andreotti;78;Male;nacional;06-772-7441;premium;30;alto;jandreotti1@cyberchimps.com;176-631-9983;1.6;53.1;3/1/2023;
3;Erma;Allman;28;Female;pasaporte;00-421-3881;gratuita;36;alto;eallman2@merriam-webster.com;306-989-7554;1.7;58;21/11/2023;
4;Ardys;Trymme;65;Female;nacional;93-370-6935;gratuita;18;medio;atrymme3@ask.com;469-234-0596;1.8;68.9;2/2/2023;
5;Ogdan;Aim;19;Male;nacional;72-847-2873;premium;14;bajo;oaim4@google.com;825-960-3922;1.7;87.4;11/2/2023;
6;Weylin;Rodbourne;61;Male;pasaporte;25-711-6016;gratuita;26;medio;wrodbourne5@nbcnews.com;649-483-0884;1.6;73.1;20/8/2023;
7;Hall;Albany;76;Male;pasaporte;89-096-3697;premium;30;alto;halbany6@ning.com;964-282-8115;1.8;54;19/4/2023;
8;Myles;Hadwick;61;Male;pasaporte;68-383-2181;premium;17;medio;mhadwick7@rediff.com;770-441-0274;1.8;79;3/10/2023;
9;Camile;Lacasa;61;Female;pasaporte;21-013-1481;premium;8;bajo;clacasa8@flavors.me;924-938-2205;1.9;56.3;6/1/2023;
10;Brandi;Edlestone;48;Female;nacional;49-653-7148;premium;1;bajo;bedlestone9@google.ca;581-795-3584;1.5;64.4;16/1/2023;
11;Hildegarde;Martello;48;Female;pasaporte;55-332-5061;premium;24;medio;hmartelloa@adobe.com;799-157-0499;1.5;74.4;14/8/2023;
12;Madeleine;Cavanaugh;54;Female;pasaporte;80-725-8812;gratuita;29;medio;mcavanaughb@vistaprint.com;616-351-4568;1.8;92.9;14/2/2023;
13;Luke;Metrick;78;Male;pasaporte;26-874-9879;gratuita;33;alto;lmetrickc@biglobe.ne.jp;779-430-3522;2.0;66.8;2/1/2023;
14;Ervin;Jeffers;84;Male;nacional;41-085-2656;gratuita;13;bajo;ejeffersd@sun.com;773-294-7284;1.9;66;11/8/2023;
15;Angel;Henric;54;Female;nacional;07-004-7901;premium;37;alto;ahenrice@slideshare.net;433-648-0521;1.7;83.6;29/10/2023;
16;Dyan;Porteous;68;Female;nacional;90-413-5716;premium;7;bajo;dporteousf@photobucket.com;194-860-4475;1.5;95.3;9/4/2023;
17;Charlot;Tattersall;22;Female;nacional;15-748-6047;premium;7;bajo;ctattersallg@hugedomains.com;665-654-8557;2.0;80.2;10/10/2023;
18;Archaimbaud;Leroux;48;Male;pasaporte;33-872-8826;premium;31;alto;alerouxh@privacy.gov.au;489-361-9455;1.6;72.9;3/9/2023;
19;Kimbell;Knightsbridge;23;Male;pasaporte;32-987-2588;gratuita;22;medio;kknightsbridgei@dailymotion.com;967-390-5846;1.9;63;20/1/2023;
20;Vincenz;Sadry;73;Male;pasaporte;99-486-2163;premium;21;medio;vsadryj@bandcamp.com;310-272-7101;1.6;91.9;17/8/2023;
21;Jabez;Tincombe;72;Male;pasaporte;47-590-9598;gratuita;38;alto;jtincombek@miitbeian.gov.cn;725-461-9617;1.8;72.5;29/9/2023;
22;Kynthia;McCafferky;78;Female;pasaporte;00-709-2304;gratuita;38;alto;kmccafferkyl@businessinsider.com;945-516-9511;1.7;58.3;5/5/2023;
23;Lianna;Serchwell;67;Female;pasaporte;03-641-0800;premium;1;bajo;lserchwellm@wired.com;209-536-7949;1.8;89.1;5/4/2023;
24;Jerrilee;Domengue;48;Female;pasaporte;32-073-8626;gratuita;22;medio;jdomenguen@oracle.com;957-556-4649;1.9;74.9;8/4/2023;
25;Jere;Boulde;27;Male;pasaporte;62-592-2366;premium;39;alto;jbouldeo@google.it;687-724-7670;1.7;88;11/8/2023;
26;Ansel;Waldocke;32;Male;pasaporte;67-268-0531;premium;29;medio;awaldockep@cbslocal.com;449-123-0693;1.6;77.6;20/2/2023;
27;Benedetta;Brundill;69;Female;nacional;08-232-0706;gratuita;38;alto;bbrundillq@ibm.com;182-654-3549;1.6;97.6;10/3/2023;
28;Antonella;Fenech;53;Female;nacional;50-616-5420;premium;4;bajo;afenechr@thetimes.co.uk;107-239-1784;1.9;62.5;16/6/2023;
29;Hoebart;Brownsey;62;Male;pasaporte;68-696-8451;premium;9;bajo;hbrownseys@etsy.com;180-407-3918;1.8;79.4;15/9/2023;
30;Jeramie;Mobley;84;Male;pasaporte;95-415-9864;gratuita;35;alto;jmobleyt@tinypic.com;370-325-1307;1.6;72.2;7/4/2023;
31;Alexandr;Bicknell;68;Male;pasaporte;31-593-0870;gratuita;26;medio;abicknellu@studiopress.com;383-422-8172;1.7;94;11/11/2023;
32;Salomone;Pitkins;22;Male;pasaporte;56-767-4407;gratuita;4;bajo;spitkinsv@spiegel.de;733-146-3974;1.8;62.4;19/8/2023;
33;Valerie;Dolley;73;Female;nacional;59-074-8901;gratuita;27;medio;vdolleyw@uiuc.edu;484-163-9745;1.6;82;20/9/2023;
34;Costanza;Whitehead;72;Female;pasaporte;40-193-2069;gratuita;39;alto;cwhiteheadx@deviantart.com;422-423-1322;1.6;73.4;27/8/2023;
35;Adrianne;Shenley;40;Female;nacional;65-598-1547;gratuita;20;medio;ashenleyy@icq.com;506-465-8194;1.6;65.2;5/4/2023;
36;Hiram;Cleare;43;Male;pasaporte;98-675-3114;premium;20;medio;hclearez@hp.com;802-247-3625;1.5;86.4;3/7/2023;
37;Shawn;Hirjak;19;Male;nacional;96-453-5032;premium;33;alto;shirjak10@unc.edu;132-148-3798;1.7;87.8;30/8/2023;
38;Jay;Lillow;33;Male;pasaporte;50-760-5878;gratuita;22;medio;jlillow11@phpbb.com;103-904-1669;1.7;64;29/8/2023;
39;Pepillo;Amesbury;57;Male;nacional;20-996-7167;gratuita;14;bajo;pamesbury12@pbs.org;866-478-4474;1.7;97.3;13/2/2023;
40;Kathie;O'Kane;54;Female;pasaporte;50-310-9146;gratuita;29;medio;kokane13@histats.com;384-412-3098;1.7;89.4;30/1/2023;
41;Shelton;Twinbrow;69;Male;pasaporte;65-564-7535;premium;2;bajo;stwinbrow14@dropbox.com;652-228-1759;1.9;90.2;16/5/2023;
42;Tam;Caghan;34;Male;nacional;47-201-5364;premium;6;bajo;tcaghan15@noaa.gov;983-105-7421;1.9;97.4;4/9/2023;
43;Dulcine;Veitch;23;Female;nacional;91-659-7704;premium;15;medio;dveitch16@mail.ru;570-829-6374;1.7;56.4;15/4/2023;
44;Major;Reason;47;Male;pasaporte;30-580-4829;premium;31;alto;mreason17@cafepress.com;541-638-8423;1.9;60.7;1/7/2023;
45;Gwen;Peggrem;50;Female;pasaporte;40-973-0435;premium;27;medio;gpeggrem18@weibo.com;965-548-0198;2.0;78.6;17/10/2023;
46;Kele;Westcarr;31;Male;pasaporte;61-895-4421;gratuita;36;alto;kwestcarr19@e-recht24.de;551-769-5333;1.8;87;7/9/2023;
47;Gerda;Eadington;25;Female;pasaporte;51-135-0434;premium;12;bajo;geadington1a@shinystat.com;513-800-3475;1.8;59.4;7/4/2023;
48;Lauritz;Harrigan;51;Male;pasaporte;35-825-0923;premium;28;medio;lharrigan1b@163.com;761-229-3252;1.6;53.2;2/7/2023;
49;Flor;Parnall;46;Female;nacional;57-403-9096;premium;21;medio;fparnall1c@icq.com;863-962-8863;1.8;70;21/7/2023;
50;Albertine;Grandison;46;Female;nacional;92-530-4488;gratuita;31;alto;agrandison1d@cmu.edu;350-561-4747;1.8;59;9/2/2023;
51;Bea;de Copeman;59;Female;nacional;06-098-8488;gratuita;22;medio;bdecopeman1e@blinklist.com;538-823-9585;1.7;75.4;24/9/2023;
52;Lind;Boolsen;51;Female;nacional;46-068-5266;gratuita;29;medio;lboolsen1f@arstechnica.com;386-609-6361;1.6;86.9;21/10/2023;
53;Kaye;Wippermann;58;Female;nacional;26-169-4114;premium;30;alto;kwippermann1g@deviantart.com;684-368-9019;1.8;78.8;14/3/2023;
54;Samuel;Mangin;76;Male;pasaporte;54-987-9847;premium;11;bajo;smangin1h@ocn.ne.jp;281-236-0084;1.6;74.9;21/9/2023;
